# 漢字割当の基本形(代表語根)上書き表。漢字 TAB 語根。
# CSV難易度(Unified_Level)+中心義に基づき、学習者基礎語を基本形に固定する意味的例外。
# 2026-06 ユーザー承認。識別子付与(_gas_identifier.ps1)でこの語根を各群の先頭(base)に強制。
学	lern
#   (一度この2群だけ解除したが、綴りとの対応を優先すべきとのユーザー指摘で撤回=§3.1分解鏡像と同一の論理)
#   残り12群も現状維持: ①出現頻度で現行baseが優勢(爬虫 sau^r 15語 vs reptili 2語 / 茅 espart 8 / 蠕 helmint 7 /
#   蛾 mote 6 / 香脂 ladan 6 / 秧鸡 ral 6 …)で、無印を失うと派生語(helmint/o/logi/o 等)まで識別子付きになる。
#   ②分類階級でも現行base側が上位の総称・属であることが多い(helmint蠕虫総称/kobrコブラ総称/fikus属/staki属)。
#   ③蛾群は §14 で裁定済み(mote=イガ。外すと[H]ハード違反)。④猴は ceb が派生語 ceb/ed/oj を持ち2語 vs makak 1語ゆえ据置。
皮翅	dermapter
蛾	mote
榕	fikus
爬虫	sau^r
金丝燕	salangan
千足	kilopod
眼镜蛇	kobr
蔓	sarment
香脂	ladan
蠕	helmint
水苏	staki
秧鸡	ral
猴	ceb
茅	espart
# 禾群の基本形を廃用形 gramin(【PIV】evitinda=gramineo) から正規の gramine(イネ科・PEJVO層)へ。
# 生物名369語根投入で禾群にPEJVO層3語根が加わり、[I]NEW_SYNONYM_REVERSAL として検出(2026-07-26 第27回続24)。
禾	gramine
# 【2026-07-26 第27回続28 第8レンズ】層順逆転7群を是正=無印をPIV層からPEJVO本体層へ移す。
#   検出: 識別子コストの階層勾配を測る過程で、_p_work.csv の band 誤ラベル(PIV実体なのに band=pejvo、
#   および両者とも band=piv)により band_rank が同着になり、P値(頻度・画数)だけで基本形が決まって
#   PIV語根が無印を奪っていた群を発見。既存の [I] 逆転検査は band を層の代理に使うため原理的に見えない。
#   層は【両版の見出し分節としての初出行】で独立判定(複合語・空白見出しも算入)。
#   上記 禾→gramine(廃用形からの是正) と同型。漢字・分解・字種は不変で、動くのは無印の所在のみ。
#   ★7群とも独立エージェントの敵対的反証を通過。churn は両版合計20行(学習者版はほぼ0)。
#   速计: takimetr は PIV が (evi)=rapidometro と明示する非推奨形 → rapidometr(本体L33088)へ
#   高计: altimetr は PIV 定義が「= altometro.」の相互参照のみ → altometr(本体L1383)へ
#   气学/气学家: aerologi/aerolog(PIV L44530/44529) → meteologi/meteolog(本体L25189/25195)。対で移す
#   肠炎: ileit(回腸炎=下位概念,PIV専用) → enterit(腸炎そのもの,本体L9657)
#   乐主义/乐家: hedonism/hedonist(PIV専用・和訳なし) → optimism/optimist(本体L28553/28555)。対で移す
速计	rapidometr
高计	altometr
气学	meteologi
气学家	meteolog
肠炎	enterit
乐主义	optimism
乐家	optimist
# 【2026-07-26 第27回続33 第12レンズ】SI接頭辞ファミリの無印/識別子の割当が 厘 と 毫 で逆だったのを揃える。
#   厘群: centi=厘(無印・base_override 既定) / centimetr=厘ᶜᴹ  ← 分解に忠実な接頭辞側が無印
#   毫群: milimetr=毫(無印)           / mili=毫ᴹᴵ            ← 逆になっていた
#   実描画数(両版の見出し分節・F列でなく実測): mili 8回(mili/metr・mili/gram・mili/bar・mili/amper・mili/sivert)
#   vs milimetr 1回(学術版の未分解形のみ)。CSV2890語 milimetro は学習者版では mili/metr/o と分解されるので、
#   接頭辞側を無印にすると最優先層の語がそのまま 毫/米/o と読める(第27回続27の「語根分解に忠実な方を無印」と同じ判定基準)。
#   動くのは無印の所在のみ=字種・分解・被覆は不変。改善7行(学習者5+学術2) / 後退1行(学術 milimetr/o)。
毫	mili
