判定	根拠	層A	語A	層B	語B	面
同義(無害)	同一形態素の別見出し	CSV2890	-obl-	PEJVO	oblo	倍
同義(無害)	同一形態素の別見出し	CSV2890	-obla	PEJVO	oblo	倍
同義(無害)	同一形態素の別見出し	CSV2890	pra-	PEJVO	praa	原
同義(無害)	相互参照(=/>>)	CSV2890	orta	PEJVO	rektangula	直角
同義(無害)	同一形態素の別見出し	CSV2890	tra	PEJVO	tra-	穿
同義(無害)	同一形態素の別見出し	CSV2890	per	PEJVO	per-	以
同義(無害)	同一形態素の別見出し	CSV2890	pli	PEJVO	pli-	更
同義(無害)	同一形態素の別見出し	CSV2890	po	PEJVO	po-	每
同義(無害)	相互参照(=/>>)	PEJVO	postgvardio	PIV	ariero	后卫
同義(無害)	相互参照(=/>>)	PEJVO	pou^po	PEJVO	s^ipvosto	船尾
同義(無害)	同一形態素の別見出し	CSV2890	pri	PEJVO	pri-	于
同義(無害)	同一形態素の別見出し	PEJVO	vic-	CSV2890	vico	列
同義(無害)	相互参照(=/>>)	PEJVO	samtempeco	PEJVO	simultaneco	同时性
同義(無害)	相互参照(=/>>)	PEJVO	sesangulo	PIV	heksagono	六角
同義(無害)	相互参照(=/>>)	PEJVO	skorpifis^o	PIV	skorpeno	蝎鱼
同義(無害)	同一形態素の別見出し	PEJVO	sol-	CSV2890	sola	唯
同義(無害)	同一形態素の別見出し	PEJVO	sovag^-	CSV2890	sovag^a	野
同義(無害)	同一形態素の別見出し	CSV2890	sub	PEJVO	sub-	下
同義(無害)	同一形態素の別見出し	CSV2890	super	PEJVO	super-	上ˢᴾ
同義(無害)	同一形態素の別見出し	CSV2890	sur	PEJVO	sur-	上
同義(無害)	相互参照(=/>>)	PEJVO	trenreto	PEJVO	trolo	拖网
同義(無害)	同一形態素の別見出し	CSV2890	tro	PEJVO	tro-	太
同義(無害)	同一形態素の別見出し	CSV2890	-ul-	PEJVO	ulo	者
同義(無害)	同一形態素の別見出し	PEJVO	vir-	CSV2890	viro	男
同義(無害)	訳語が重複	PIV	mesentero	PIV	mesoentero	中肠ᴱ
同義(無害)	訳語が重複	PIV	mesentero	PIV	mezentero	中肠ᴱ
同義(無害)	相互参照(=/>>)	PIV	mesoentero	PIV	mezentero	中肠ᴱ
異義の可能性		CSV2890	adiau^	PEJVO	revidi	再见
異義の可能性		PEJVO	aertubo	PEJVO	trakeo	气管
異義の可能性		PEJVO	alburno	PIV	blankfis^o	白鱼
異義の可能性		PEJVO	alinei	PEJVO	komutado	换行
異義の可能性		PEJVO	lavendo	PEJVO	spicherbo	香草
異義の可能性		PEJVO	asketo	PEJVO	suferado	苦行
異義の可能性		PEJVO	au^todidakto	PEJVO	memlerni	自学
異義の可能性		PEJVO	bumo	PEJVO	velstango	帆杆
異義の可能性		PEJVO	c^efmasto	PEJVO	steveno	首柱
異義の可能性		PEJVO	c^evalkas^tano	PIV	hipokastano	马栗
異義の可能性		PEJVO	domicilo	PEJVO	log^ejo	住所
異義の可能性		PEJVO	dukolora	PIV	dikroa	二色
異義の可能性		PEJVO	endosmozo	PIV	enosmozo	内渗
異義の可能性		PIV	paleo	PIV	ens^ele	内壳
異義の可能性		PEJVO	florkrono	PEJVO	korolo	花冠
異義の可能性		PEJVO	fraji	PIV	fis^ovoj	鱼卵
異義の可能性		PEJVO	frakulo	PIV	hirundvostulo	燕尾者
異義の可能性		PEJVO	fritkuko	PIV	benjeto	炸糕
異義の可能性		PEJVO	glits^tono	PEJVO	talki	滑石
異義の可能性		PEJVO	skuno	PEJVO	vels^ipa	帆船
異義の可能性		PEJVO	hipotenuzo	PEJVO	klinrando	斜边
異義の可能性		PEJVO	sameco	PIV	gejo	同性
異義の可能性		PEJVO	interpunkcii	PIV	celpunkto	标点
異義の可能性		PEJVO	kaptuko	PEJVO	turbano	头巾
異義の可能性		PEJVO	klinangulo	PIV	skaleno	斜角
異義の可能性		PEJVO	kolharoj	PIV	krino	颈毛
異義の可能性		PEJVO	kombinig^i	PIV	anabolo	合成
異義の可能性		PEJVO	kredigi	PEJVO	kuriero	信使
異義の可能性		PEJVO	konvekti	PIV	kontrau^flue	对流
異義の可能性		CSV2890	mezo	PIV	mesoo	中
異義の可能性		PEJVO	miljara	PIV	milenio	千年
異義の可能性		PEJVO	talpa	PEJVO	termuso	地鼠
異義の可能性		PEJVO	multkolora	PIV	pleokroa	多色
異義の可能性		PEJVO	multkoloreco	PIV	pleokroeco	多色性
異義の可能性		PEJVO	nelonga	PIV	nelge	不长
異義の可能性		CSV2890	neniam	PIV	sentempa	无时
異義の可能性		PEJVO	okono	PEJVO	oktanto	八分
異義の可能性		PEJVO	pavezo	PIV	s^ipmuro	船壁
異義の可能性		CSV2890	si	PIV	heks	己
異義の可能性		PEJVO	tripanosomo	PIV	praterioj	原兽ᵀ
異義の可能性		PEJVO	punkcii	PEJVO	trapiki	穿刺
異義の可能性		PEJVO	reakciigi	PIV	maldevigi	反应使
異義の可能性		PEJVO	samtempa	PIV	simultana	同时
異義の可能性		PEJVO	tripkolbaso	PIV	andujo	肚肠
異義の可能性		PEJVO	unudiismo	PIV	unitariismo	一神主义
異義の可能性		PEJVO	unueca	PIV	monofizito	一性
異義の可能性		PIV	lamprido	PIV	lunfis^o	月鱼
異義の可能性		PIV	sinklinalo	PIV	alklini	向斜
